Mars Surface Radiation Result (absorbed dose in thin silicon slab) (1E-6 Gy/day).
Column 1 is East longitude (°)
Line 1 is North latitude (°)

-179  -177  -175  -173  -171  -169  -167  -165  -163  -161  -159  -157  -155  -153  -151  -149  -147  -145  -143  -141  -139  -137  -135  -133  -131  -129  -127  -125  -123  -121  -119  -117  -115  -113  -111  -109  -107  -105  -103  -101  -99  -97  -95  -93  -91  -89  -87  -85  -83  -81  -79  -77  -75  -73  -71  -69  -67  -65  -63  -61  -59  -57  -55  -53  -51  -49  -47  -45  -43  -41  -39  -37  -35  -33  -31  -29  -27  -25  -23  -21  -19  -17  -15  -13  -11  -9  -7  -5  -3  -1  1  3  5  7  9  11  13  15  17  19  21  23  25  27  29  31  33  35  37  39  41  43  45  47  49  51  53  55  57  59  61  63  65  67  69  71  73  75  77  79  81  83  85  87  89  91  93  95  97  99  101  103  105  107  109  111  113  115  117  119  121  123  125  127  129  131  133  135  137  139  141  143  145  147  149  151  153  155  157  159  161  163  165  167  169  171  173  175  177  179  
--------------------------------------------------------------------------------------------------
-89°N ||     128.92 128.98 129.04 129.06 129.06 129.05 129.04 129.05 129.09 129.12 129.26 129.31 129.29 129.34 129.50 129.58 129.63 129.70 129.72 129.63 129.58 129.67 129.68 129.64 129.60 129.57 129.52 129.53 129.58 129.56 129.62 129.69 129.66 129.61 129.68 129.64 129.59 129.55 129.47 129.40 129.35 129.29 129.23 129.22 129.20 129.21 129.20 129.22 129.22 129.21 129.19 129.18 129.16 129.16 129.16 129.16 129.10 129.08 129.06 129.07 129.07 129.06 129.07 129.05 129.07 129.10 129.10 128.99 128.94 128.96 128.91 128.92 128.92 128.92 128.88 128.86 128.86 128.85 128.84 128.84 128.83 128.86 128.86 128.85 128.87 128.87 128.87 128.87 128.86 128.87 128.88 128.90 128.90 128.90 128.90 128.91 128.91 128.91 128.90 128.89 128.86 128.86 128.86 128.86 128.87 128.88 128.88 128.88 128.89 128.89 128.89 128.87 128.84 128.87 128.92 128.95 128.93 128.93 128.94 128.96 128.98 128.99 129.00 129.02 129.05 129.08 129.08 129.11 129.13 129.14 129.15 129.16 129.17 129.19 129.19 129.22 129.22 129.22 129.22 129.23 129.18 129.19 129.17 129.14 129.15 129.15 129.14 129.10 129.07 129.04 129.03 129.02 129.02 128.98 128.96 128.95 128.94 128.92 128.91 128.92 128.91 128.89 128.88 128.85 128.84 128.82 128.83 128.85 128.86 128.87 128.90 128.92 128.93 128.94 128.94 128.94 128.93 128.92 128.92 128.92
-87°N ||     130.24 130.32 130.33 130.40 130.39 130.44 130.40 130.39 130.37 130.32 130.31 130.31 130.26 130.19 130.17 130.16 130.17 130.18 130.18 130.15 130.14 130.17 130.25 130.26 130.24 130.20 130.20 130.13 130.17 130.06 130.22 130.23 130.13 130.12 130.12 130.14 130.15 130.14 130.13 130.09 130.04 130.08 130.06 130.05 130.04 130.03 130.04 130.00 129.97 129.94 129.84 129.96 129.82 129.62 129.65 129.61 129.52 129.43 129.38 129.36 129.53 129.13 129.23 129.02 128.96 128.95 128.90 128.85 128.82 128.82 128.81 128.82 128.89 128.87 128.61 128.56 128.49 128.40 128.39 128.57 128.28 128.10 128.10 128.01 127.99 128.00 128.03 128.06 128.09 128.12 128.14 128.13 128.10 128.06 128.05 128.49 128.39 128.57 128.37 128.54 128.51 128.53 128.64 128.66 128.69 128.78 128.83 128.98 129.05 129.09 128.93 128.92 128.96 128.99 129.01 129.00 129.05 129.08 129.16 129.16 129.23 129.28 129.29 129.32 129.38 129.36 129.37 129.43 129.49 129.46 129.52 129.52 129.54 129.59 129.69 129.78 129.83 129.94 129.89 129.77 129.66 129.63 129.61 129.60 129.58 129.59 129.53 129.30 129.26 129.25 129.26 129.27 129.31 129.30 129.29 129.29 129.33 129.42 129.49 129.47 129.52 129.56 129.62 129.63 129.71 129.76 129.85 129.91 130.03 130.07 130.20 130.21 130.22 130.21 130.22 130.10 129.90 129.98 130.22 130.35
-85°N ||     129.79 129.82 129.87 129.88 129.89 129.88 129.89 129.91 129.90 129.89 129.89 129.89 129.92 129.98 129.94 129.90 129.91 129.98 129.98 129.98 129.97 129.98 129.99 129.99 129.98 129.97 129.99 130.06 130.10 130.19 130.37 130.39 130.38 130.38 130.39 130.34 130.44 130.43 130.38 130.32 130.43 130.57 130.55 130.57 130.49 130.48 130.42 130.37 130.32 130.26 130.28 130.20 130.20 130.19 130.36 130.41 130.23 130.13 130.16 130.33 130.28 129.64 129.57 129.61 129.71 129.76 129.62 129.70 129.69 129.37 129.54 129.50 129.25 129.19 129.25 129.02 129.30 129.53 129.79 129.52 129.38 129.33 129.40 129.41 129.48 129.38 129.33 129.23 129.23 129.34 129.23 129.23 129.31 129.26 129.25 129.28 129.31 129.34 129.32 129.36 129.32 129.44 129.72 129.93 129.88 129.85 129.82 129.83 129.79 129.84 129.91 129.95 129.98 130.02 129.84 129.86 129.92 129.94 129.91 129.87 129.86 129.89 129.91 129.97 130.04 130.09 130.09 130.04 130.04 130.00 129.96 129.93 129.90 129.90 129.91 129.96 130.29 130.69 130.74 130.70 130.58 130.47 130.41 130.47 130.24 130.11 130.04 129.96 129.99 130.04 129.96 129.98 130.02 130.11 130.20 130.22 130.23 130.23 130.19 130.18 130.16 130.07 129.98 129.92 129.88 129.94 130.00 130.06 130.16 130.25 130.10 130.14 130.13 130.11 130.05 129.98 129.91 129.88 129.80 129.77
-83°N ||     129.87 129.90 129.91 129.93 129.93 129.93 129.94 129.95 129.96 129.97 129.99 130.01 130.03 130.04 130.03 130.04 130.06 130.08 130.10 130.12 130.13 130.15 130.17 130.20 130.22 130.26 130.29 130.32 130.38 130.44 130.40 130.30 130.27 130.23 130.28 130.37 130.38 130.36 130.39 130.41 130.26 130.28 130.31 130.33 130.35 130.37 130.35 130.57 130.61 130.65 130.62 130.61 130.60 130.60 130.61 130.60 130.58 130.67 130.67 130.63 130.47 130.63 130.60 130.55 130.65 130.53 130.54 130.53 130.66 130.58 130.66 130.72 130.73 130.73 130.73 130.72 130.72 130.72 130.72 130.73 130.73 130.73 130.71 130.72 130.72 130.71 130.70 130.70 130.71 130.71 130.65 130.65 130.67 130.66 130.66 130.64 130.61 130.59 130.59 130.52 130.58 130.34 130.42 130.27 130.48 130.59 130.61 130.50 130.45 130.48 130.51 130.56 130.64 130.65 130.66 130.60 130.50 130.51 130.50 130.51 130.48 130.43 130.29 130.25 130.29 130.32 130.32 130.24 130.24 130.31 130.28 130.28 130.37 130.36 130.44 130.62 130.73 130.73 130.73 130.73 130.73 130.50 130.47 130.50 130.49 130.55 130.54 130.51 130.50 130.50 130.47 130.42 130.37 130.34 130.31 130.21 130.15 130.16 130.30 130.45 130.65 130.72 130.51 130.34 130.02 130.02 129.81 129.75 129.73 129.65 129.66 129.80 130.15 130.21 130.07 129.93 129.85 129.82 129.84 129.86
-81°N ||     130.06 130.10 130.09 130.17 130.03 130.07 130.10 130.13 130.16 130.20 130.24 130.28 130.36 130.38 130.27 130.25 130.25 130.27 130.32 130.36 130.40 130.42 130.43 130.45 130.47 130.49 130.52 130.53 130.54 130.55 130.56 130.62 130.61 130.61 130.64 130.62 130.56 130.58 130.57 130.58 130.64 130.60 130.47 130.50 130.41 130.36 130.39 130.48 130.49 130.44 130.52 130.47 130.57 130.73 130.54 130.62 130.69 130.72 130.72 130.73 130.69 130.73 130.73 130.73 130.73 130.72 130.73 130.73 130.72 130.71 130.73 130.71 130.67 130.68 130.69 130.69 130.67 130.67 130.68 130.69 130.67 130.67 130.63 130.61 130.61 130.62 130.62 130.63 130.62 130.62 130.61 130.62 130.58 130.53 130.44 130.26 129.77 129.14 129.88 129.92 130.28 130.48 130.45 130.50 130.61 130.67 130.70 130.73 130.73 130.71 130.66 130.71 130.73 130.73 130.73 130.74 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.72 130.68 130.70 130.71 130.72 130.72 130.73 130.73 130.73 130.73 130.72 130.73 130.73 130.63 130.32 130.19 130.17 130.16 130.17 130.29 130.35 130.38 130.35 130.44 130.49 130.53 130.58 130.60 130.62 130.57 130.60 130.65 130.69 130.57 130.54 130.53 130.62 130.52 130.55 130.57 130.60 130.53 130.70 130.49 130.12 129.87 129.81 129.91 130.05 130.22 130.37 130.04 130.11 130.10 129.97 130.00
-79°N ||     130.21 130.23 130.24 130.30 130.29 130.26 130.27 130.29 130.31 130.41 130.34 130.39 130.41 130.43 130.47 130.49 130.41 130.43 130.38 130.50 130.51 130.52 130.51 130.63 130.71 130.46 130.59 130.66 130.69 130.71 130.70 130.70 130.69 130.70 130.70 130.71 130.71 130.71 130.68 130.68 130.68 130.60 130.70 130.72 130.54 130.64 130.64 130.59 130.57 130.51 130.48 130.63 130.66 130.71 130.70 130.71 130.67 130.58 130.69 130.54 130.73 130.72 130.59 130.71 130.70 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.71 130.72 130.73 130.71 130.70 130.71 130.72 130.67 130.72 130.69 130.70 130.71 130.69 130.69 130.62 130.20 130.22 129.93 130.27 130.55 130.64 130.61 130.68 130.69 130.70 130.71 130.73 130.71 130.73 130.68 130.72 130.65 130.71 130.68 130.68 130.57 130.52 130.72 130.72 130.73 130.73 130.72 130.72 130.72 130.73 130.72 130.72 130.73 130.72 130.73 130.72 130.73 130.73 130.72 130.72 130.72 130.73 130.72 130.72 130.73 130.73 130.73 130.72 130.71 130.66 130.70 130.56 130.41 130.43 130.44 130.38 130.41 130.45 130.57 130.65 130.69 130.61 130.52 130.70 130.27 130.31 130.59 130.33 130.16 130.06 130.01 130.07 130.00 130.26 130.15 130.11 130.11 130.14 130.21 130.05 129.99 130.07 130.13 130.18 130.18 130.18
-77°N ||     130.55 130.41 130.40 130.38 130.34 130.46 130.45 130.59 130.58 130.59 130.56 130.56 130.66 130.61 130.61 130.62 130.62 130.61 130.67 130.64 130.64 130.65 130.64 130.65 130.65 130.68 130.71 130.72 130.69 130.71 130.71 130.72 130.72 130.72 130.72 130.72 130.72 130.72 130.72 130.72 130.72 130.72 130.71 130.69 130.68 130.62 130.40 130.60 130.35 130.48 130.65 130.68 130.61 130.36 130.46 130.58 130.65 130.61 130.66 130.65 130.72 130.74 130.71 130.73 130.73 130.73 130.74 130.73 130.73 130.74 130.73 130.73 130.73 130.73 130.74 130.74 130.73 130.73 130.69 130.71 130.70 130.67 130.65 130.61 130.69 130.72 130.70 130.71 130.66 130.69 130.70 130.70 130.60 130.56 130.51 130.43 130.10 129.83 130.54 130.67 130.65 130.59 130.58 130.67 130.72 130.68 130.70 130.73 130.67 130.73 130.68 130.65 130.68 130.69 130.71 130.73 130.69 130.65 130.49 130.36 130.30 130.05 129.94 130.30 130.44 130.66 130.73 130.73 130.73 130.69 130.53 130.56 130.54 130.55 130.71 130.72 130.72 130.72 130.70 130.65 130.65 130.64 130.48 130.59 130.72 130.72 130.73 130.73 130.55 130.58 130.63 130.33 130.59 130.70 130.68 130.42 130.29 130.34 130.24 130.27 130.31 130.21 130.19 130.32 130.25 130.22 130.30 130.37 130.40 130.38 130.31 130.36 130.45 130.28 130.29 130.32 130.42 130.49 130.52 130.44
-75°N ||     130.60 130.63 130.54 130.59 130.51 130.54 130.57 130.64 130.64 130.59 130.73 130.67 130.58 130.68 130.70 130.71 130.68 130.70 130.70 130.67 130.67 130.70 130.71 130.73 130.71 130.72 130.72 130.73 130.72 130.72 130.72 130.72 130.73 130.72 130.62 130.72 130.72 130.71 130.71 130.71 130.70 130.69 130.70 130.70 130.71 130.71 130.70 130.69 130.65 130.63 130.63 130.51 130.42 130.53 130.67 130.70 130.70 130.73 130.73 130.73 130.73 130.73 130.73 130.74 130.74 130.74 130.73 130.70 130.71 130.69 130.72 130.70 130.71 130.68 130.68 130.68 130.65 130.68 130.65 130.67 130.69 130.68 130.69 130.69 130.73 130.71 130.71 130.73 130.71 130.71 130.70 130.64 130.60 130.69 130.71 130.71 130.71 130.70 130.71 130.68 130.66 130.69 130.69 130.66 130.71 130.72 130.72 130.67 130.69 130.68 130.66 130.63 130.46 130.45 130.63 130.37 130.54 130.47 130.35 130.43 130.28 130.22 130.55 130.67 130.65 130.36 130.64 130.50 130.55 130.55 130.59 130.66 130.65 130.64 130.62 130.54 130.65 130.32 130.15 129.92 129.82 130.15 130.71 130.72 130.71 130.57 130.71 130.52 130.71 130.71 130.73 130.73 130.73 130.73 130.72 130.57 130.11 130.11 130.09 130.10 130.07 130.17 130.47 130.42 130.47 130.21 130.24 130.33 130.36 130.34 130.36 130.35 130.35 130.45 130.45 130.49 130.55 130.53 130.54 130.56
-73°N ||     130.71 130.57 130.71 130.70 130.70 130.63 130.70 130.71 130.72 130.70 130.59 130.45 130.45 130.62 130.70 130.72 130.72 130.71 130.70 130.68 130.64 130.50 130.71 130.41 130.53 130.70 130.70 130.69 130.70 130.71 130.71 130.71 130.70 130.67 130.63 130.55 130.62 130.70 130.68 130.70 130.70 130.71 130.69 130.70 130.71 130.71 130.71 130.67 130.67 130.49 130.48 130.39 130.43 130.61 130.72 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.70 130.72 130.74 130.74 130.73 130.73 130.73 130.69 130.69 130.70 130.69 130.68 130.70 130.73 130.68 130.69 130.69 130.70 130.73 130.72 130.73 130.71 130.70 130.71 130.71 130.72 130.71 130.64 130.72 130.71 130.72 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.73 130.72 130.73 130.67 130.66 130.63 130.41 130.26 130.39 130.61 130.71 130.64 130.69 130.65 130.68 130.54 130.60 130.43 130.31 130.29 130.48 130.49 130.59 130.58 130.65 130.64 130.64 130.66 130.67 130.70 130.72 130.72 130.72 130.72 130.71 130.64 130.66 130.14 130.19 130.50 130.55 130.56 130.60 130.61 130.49 130.68 130.70 130.30 130.57 130.73 130.72 130.69 130.67 130.44 130.05 130.29 130.15 130.32 130.53 130.47 130.24 130.38 130.54 130.61 130.54 130.64 130.72 130.73 130.67 130.64 130.64 130.63 130.67 130.63 130.63 130.68
-71°N ||     130.72 130.74 130.73 130.73 130.73 130.71 130.68 130.69 130.70 130.69 130.69 130.71 130.56 130.47 130.20 130.20 130.52 130.56 130.67 130.62 130.61 130.59 130.53 130.56 130.51 130.63 130.71 130.71 130.69 130.63 130.66 130.63 130.63 130.67 130.66 130.65 130.62 130.69 130.67 130.67 130.70 130.66 130.69 130.68 130.69 130.70 130.64 130.60 130.63 130.60 130.51 130.53 130.42 130.57 130.73 130.73 130.73 130.73 130.73 130.73 130.72 130.73 130.72 130.73 130.73 130.73 130.68 130.73 130.73 130.53 130.65 130.70 130.68 130.72 130.66 130.65 130.67 130.59 130.53 130.49 130.41 130.64 130.71 130.70 130.72 130.73 130.73 130.72 130.72 130.73 130.68 130.71 130.73 130.73 130.73 130.72 130.71 130.53 130.70 130.73 130.72 130.73 130.73 130.73 130.73 130.73 130.69 130.38 130.56 130.65 130.65 130.66 130.67 130.70 130.70 130.68 130.72 130.68 130.71 130.72 130.70 130.73 130.73 130.70 130.58 130.67 130.43 130.51 130.73 130.73 130.61 130.67 130.62 130.04 130.54 130.62 130.66 130.42 130.40 130.52 130.41 130.36 130.58 130.71 130.73 130.73 130.73 130.71 130.70 130.69 130.73 130.73 130.72 130.71 130.58 130.50 130.54 130.66 130.66 130.70 130.70 130.72 130.70 130.72 130.72 130.72 130.73 130.73 130.73 130.66 130.73 130.73 130.73 130.73 130.70 130.70 130.71 130.71 130.66 130.64
